ts,hour,dow,prob,pred,mnq_ret_fwd,es_oposto,div_cl,rsi_mnq,adx_mnq,sma50_align,bb_w_cl,open_d_cl,is_us,checklist_score,checklist_ok,acertou,errou
2026-05-21 14:00:00,14,3,0.5456,1,,0,4.95,46.9,12.7,2,2.047,0,1,35.8,6.4,0,0
2026-05-21 14:00:00,14,3,0.5456,1,,0,4.44,47.5,12.7,2,2.051,0,1,35.8,6.4
2026-05-21 14:00:00,14,3,0.5456,1,,0,1.37,48.4,12.7,2,1.963,0,1,35.8,6.4
2026-05-21 14:00:00,14,3,0.5456,1,,0,0.97,49.4,12.7,2,1.983,0,1,35.8,6.4
2026-05-21 14:00:00,14,3,0.5371,1,,0,0.86,51.2,12.7,2,1.982,0,1,35.8,6.4
2026-05-21 14:00:00,14,3,0.5312,1,,0,1.23,51.0,12.7,2,2.065,0,1,35.8,6.4
2026-05-21 14:00:00,14,3,0.5398,1,,0,2.93,49.3,12.7,2,2.067,0,1,35.8,6.4
2026-05-21 14:00:00,14,3,0.5369,1,,0,3.02,50.2,12.7,2,2.118,0,1,35.8,6.4
2026-05-21 15:00:00,15,3,0.533,1,,0,3.35,50.0,12.5,3,2.193,0,1,44.1,7.9
2026-05-21 15:00:00,15,3,0.5334,1,,0,7.53,47.9,12.5,3,2.315,0,1,50.8,9.1
2026-05-21 15:00:00,15,3,0.5286,1,,0,2.37,51.2,12.5,3,2.201,0,1,44.1,7.9
2026-05-21 15:00:00,15,3,0.5286,1,,0,3.21,50.8,12.5,3,2.228,0,1,44.1,7.9
2026-05-21 15:00:00,15,3,0.5286,1,,1,3.98,51.1,12.5,3,2.295,0,1,64.2,11.5
2026-05-21 15:00:00,15,3,0.5334,1,,0,4.0,49.8,12.5,3,2.216,0,1,44.1,7.9
2026-05-21 15:00:00,15,3,0.5248,1,,0,1.34,51.8,12.5,4,2.18,0,1,44.1,7.9
2026-05-21 15:00:00,15,3,0.526,1,,0,0.09,52.5,12.5,2,2.148,0,1,35.8,6.4
2026-05-21 15:00:00,15,3,0.526,1,,0,0.55,53.0,12.5,2,2.149,0,1,35.8,6.4
2026-05-21 15:00:00,15,3,0.526,1,,0,1.52,52.8,12.5,2,2.105,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.5375,1,,0,4.88,53.2,12.4,2,2.042,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.5419,1,,0,5.97,53.5,12.4,2,2.033,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.5317,1,,0,3.95,52.9,12.3,2,2.053,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.5291,1,,0,2.39,52.0,12.3,2,2.069,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.538,1,,0,1.18,50.9,12.3,2,2.072,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.5291,1,,0,2.25,51.3,12.3,2,2.056,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.5291,1,,0,2.84,51.9,12.3,2,2.056,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.5291,1,,0,2.25,51.6,12.3,2,2.062,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.5399,1,,0,1.5,50.5,12.3,2,2.055,0,1,35.8,6.4
2026-05-21 16:00:00,16,3,0.5291,1,,0,2.32,51.1,12.3,2,2.05,0,1,35.8,6.4
2026-05-21 17:00:00,17,3,0.5329,1,,0,4.39,52.7,12.1,3,2.035,0,1,44.1,7.9
2026-05-21 17:00:00,17,3,0.5401,1,,0,3.88,53.3,12.1,3,2.053,0,1,44.1,7.9
2026-05-21 17:00:00,17,3,0.5159,1,,0,9.0,55.3,11.7,3,2.024,0,1,53.1,9.5
2026-05-21 17:00:00,17,3,0.5414,1,,0,14.91,57.7,12.0,3,2.089,0,1,62.0,11.1
2026-05-21 17:00:00,17,3,0.5368,1,,0,15.85,58.1,12.3,3,2.11,0,1,62.0,11.1
2026-05-21 17:00:00,17,3,0.547,1,,0,16.25,58.9,12.3,3,2.094,0,1,62.0,11.1
